Date,High
7/1/14,0.0099
7/2/14,0.0099
7/3/14,0.0098
7/4/14,0.0098
7/6/14,0.0098
7/7/14,0.0098
7/8/14,0.0099
7/9/14,0.0099
7/10/14,0.0099
7/11/14,0.0099
7/13/14,0.0099
7/14/14,0.0099
7/15/14,0.0099
7/16/14,0.0098
7/17/14,0.0099
7/18/14,0.0099
7/20/14,0.0099
7/21/14,0.0099
7/22/14,0.0099
7/23/14,0.0099
7/24/14,0.0099
7/25/14,0.0098
7/27/14,0.0098
7/28/14,0.0098
7/29/14,0.0098
7/30/14,0.0098
7/31/14,0.0097
8/1/14,0.0098
8/3/14,0.0098
8/4/14,0.0098
8/5/14,0.0098
8/6/14,0.0098
8/7/14,0.0098
8/8/14,0.0098
8/10/14,0.0098
8/11/14,0.0098
8/12/14,0.0098
8/13/14,0.0098
8/14/14,0.0098
8/15/14,0.0098
8/17/14,0.0098
8/18/14,0.0098
8/19/14,0.0098
8/20/14,0.0097
8/21/14,0.0097
8/22/14,0.0097
8/24/14,0.0096
8/25/14,0.0096
8/26/14,0.0096
8/27/14,0.0096
8/28/14,0.0097
8/29/14,0.0096
8/31/14,0.0096
9/1/14,0.0096
9/2/14,0.0096
9/3/14,0.0095
9/4/14,0.0095
9/5/14,0.0096
9/7/14,0.0095
9/8/14,0.0095
9/9/14,0.0094
9/10/14,0.0094
9/11/14,0.0094
9/12/14,0.0093
9/14/14,0.0093
9/15/14,0.0093
9/16/14,0.0094
9/17/14,0.0093
9/18/14,0.0092
9/19/14,0.0092
9/21/14,0.0092
9/22/14,0.0092
9/23/14,0.0092
9/24/14,0.0092
9/25/14,0.0092
9/26/14,0.0092
9/28/14,0.0092
9/29/14,0.0092
9/30/14,0.0092
10/1/14,0.0092
10/2/14,0.0093
10/3/14,0.0092
10/5/14,0.0091
10/6/14,0.0092
10/7/14,0.0093
10/8/14,0.0093
10/9/14,0.0093
10/10/14,0.0093
10/12/14,0.0093
10/13/14,0.0094
10/14/14,0.0094
10/15/14,0.0095
10/16/14,0.0095
10/17/14,0.0094
10/19/14,0.0093
10/20/14,0.0094
10/21/14,0.0094
10/22/14,0.0094
10/23/14,0.0093
