,0
0,650.77
1,637.16
2,626.7
3,627
4,626.12
5,632.09
6,627.34
7,625.14
8,623.09
9,626.29
10,629.21
11,624.09
12,624.3
13,624.43
14,620.43
15,607.07
16,594.57
17,588.39
18,585.12
19,586.23
20,597.92
21,591.95
22,589.86
23,587.49
24,591.1
25,598.12
26,591.51
27,576.95
28,573.03
29,546.24
30,518.18
31,499.37
32,485.71
33,518.28
34,531.9
35,521.48
36,508.22
37,512.69
38,520.71
39,516.16
40,511.7
41,482.99
42,481.71
43,493.93
44,490.64
45,489.83
46,477.38
47,487.47
48,482.35
49,479.63
50,478.62
51,475.64
52,468.17
53,456.86
54,427.83
55,406.92
56,441.56
57,436.11
58,423.52
59,414.94
60,385.21
61,390.98
62,391.38
63,385.5
64,377.7
65,345.13
66,339.25
67,354.36
68,382.73
69,375.07
70,397.23
71,411.7
72,402.23
73,398.81
74,385.48
75,390.08
76,392.65
77,388.58
78,385.05
79,364.35
80,358.63
81,359.98
82,357.83
83,350.91
84,348.05
85,334
86,331.77
87,343.37
88,352.97
89,352.73
90,374.82
91,371.31
92,429.72
93,457.09
94,419.25
95,410.2
96,392.4
97,386.48
98,382.02
99,357.88
100,387.21
101,394.7
102,377.7
103,382.84
104,383.66
105,384.04
106,383.03
107,378.65
108,379.19
109,376.03
110,363.07
111,352.38
112,361.36
113,352.98
114,351.82
115,345.86
116,333.95
117,323.71
118,318.53
119,334.12
120,336.29
121,334.74
122,320.27
123,314.81
124,320.19
125,278.34
126,287.55
127,298.75
128,294.14
129,291.11
130,272.2
131,268.28
132,223.89
133,229.07
134,221.59
135,215.24
136,227.79
137,237.02
138,234.85
139,309.38
140,275.48
141,266.54
142,238.71
143,242.85
144,242.18
145,245.96
146,230.06
147,239.4
148,230.51
149,223.98
150,221.81
151,223.41
152,222.2
153,240.26
154,245.77
155,244.25
156,242.67
157,247.1
158,240.11
159,239.9
160,239.34
161,237.71
162,256.65
163,276.3
164,285.8
165,284.23
166,281.67
167,277.61
168,292.7
169,300.04
170,297.39
171,297.09
172,294.5
173,294.11
174,292.36
175,285.34
176,264.24
177,264.85
178,277.3
179,267
180,249.19
181,254.35
182,256.81
183,249.24
184,248.73
185,247.54
186,254.46
187,261.8
188,255.8
