"Date","Price","Open","High","Low","Change %"
"Jul 01, 2019","0.00923","0.00923","0.00925","0.00921","0.00%"
"Jun 30, 2019","0.00923","0.00924","0.00924","0.00922","-0.43%"
"Jun 28, 2019","0.00927","0.00928","0.00930","0.00926","-0.19%"
"Jun 27, 2019","0.00929","0.00928","0.00929","0.00924","0.00%"
"Jun 26, 2019","0.00928","0.00933","0.00933","0.00927","-0.52%"
"Jun 25, 2019","0.00933","0.00932","0.00936","0.00931","0.17%"
"Jun 24, 2019","0.00931","0.00932","0.00932","0.00930","0.00%"
"Jun 23, 2019","0.00931","0.00932","0.00932","0.00931","0.00%"
"Jun 21, 2019","0.00931","0.00932","0.00934","0.00928","-0.06%"
"Jun 20, 2019","0.00932","0.00925","0.00933","0.00925","0.78%"
"Jun 19, 2019","0.00925","0.00921","0.00927","0.00921","0.36%"
"Jun 18, 2019","0.00922","0.00921","0.00925","0.00920","0.00%"
"Jun 17, 2019","0.00922","0.00921","0.00922","0.00920","0.05%"
"Jun 16, 2019","0.00921","0.00922","0.00922","0.00921","0.00%"
"Jun 14, 2019","0.00921","0.00923","0.00925","0.00921","-0.22%"
"Jun 13, 2019","0.00923","0.00922","0.00924","0.00921","0.20%"
"Jun 12, 2019","0.00921","0.00922","0.00924","0.00921","-0.05%"
"Jun 11, 2019","0.00922","0.00923","0.00923","0.00919","-0.11%"
"Jun 10, 2019","0.00923","0.00922","0.00923","0.00920","0.16%"
"Jun 09, 2019","0.00921","0.00922","0.00922","0.00921","-0.31%"
"Jun 07, 2019","0.00924","0.00922","0.00927","0.00921","0.25%"
"Jun 06, 2019","0.00922","0.00923","0.00926","0.00921","-0.12%"
"Jun 05, 2019","0.00923","0.00924","0.00927","0.00922","-0.07%"
"Jun 04, 2019","0.00924","0.00926","0.00927","0.00923","-0.21%"
"Jun 03, 2019","0.00926","0.00924","0.00927","0.00922","0.16%"
"Jun 02, 2019","0.00924","0.00923","0.00924","0.00923","0.09%"
"May 31, 2019","0.00923","0.00914","0.00924","0.00914","0.97%"
"May 30, 2019","0.00914","0.00913","0.00915","0.00910","0.19%"
"May 29, 2019","0.00913","0.00914","0.00916","0.00912","-0.19%"
"May 28, 2019","0.00914","0.00913","0.00916","0.00912","0.14%"
"May 27, 2019","0.00913","0.00914","0.00914","0.00913","-0.09%"
"May 26, 2019","0.00914","0.00915","0.00915","0.00914","-0.11%"
"May 24, 2019","0.00915","0.00913","0.00915","0.00911","0.25%"
