Date,High,,,,,
7/1/14,"1,978.58",,,,,
7/2/14,"1,976.67",,,,,
7/3/14,"1,985.59",,,,,
7/7/14,"1,984.22",,,,,
7/8/14,"1,976.39",,,,,
7/9/14,"1,974.15",,,,,
7/10/14,"1,969.84",,,,,
7/11/14,"1,968.67",,,,,
7/14/14,"1,979.85",,,,,
7/15/14,"1,982.52",,,,,
7/16/14,"1,983.94",,,,,
7/17/14,"1,981.80",,,,,
7/18/14,"1,979.91",,,,,
7/21/14,"1,976.93",,,,,
7/22/14,"1,986.24",,,,,
7/23/14,"1,989.23",,,,,
7/24/14,"1,991.39",,,,,
7/25/14,"1,984.60",,,,,
7/28/14,"1,981.52",,,,,
7/29/14,"1,984.85",,,,,
7/30/14,"1,978.90",,,,,
7/31/14,"1,965.14",,,,,
8/1/14,"1,937.35",,,,,
8/4/14,"1,942.92",,,,,
8/5/14,"1,936.34",,,,,
8/6/14,"1,927.91",,,,,
8/7/14,"1,928.89",,,,,
8/8/14,"1,932.38",,,,,
8/11/14,"1,944.90",,,,,
8/12/14,"1,939.65",,,,,
8/13/14,"1,948.41",,,,,
8/14/14,"1,955.23",,,,,
8/15/14,"1,964.04",,,,,
8/18/14,"1,971.99",,,,,
8/19/14,"1,982.57",,,,,
8/20/14,"1,988.57",,,,,
8/21/14,"1,994.76",,,,,
8/22/14,"1,993.54",,,,,
8/25/14,"2,001.95",,,,,
8/26/14,"2,005.04",,,,,
8/27/14,"2,002.14",,,,,
8/28/14,"1,998.55",,,,,
8/29/14,"2,003.38",,,,,
9/2/14,"2,006.12",,,,,
9/3/14,"2,009.28",,,,,
9/4/14,"2,011.17",,,,,
9/5/14,"2,007.71",,,,,
9/8/14,"2,007.17",,,,,
9/9/14,"2,001.01",,,,,
9/10/14,"1,996.66",,,,,
9/11/14,"1,997.65",,,,,
9/12/14,"1,996.74",,,,,
9/15/14,"1,987.18",,,,,
9/16/14,"2,002.28",,,,,
9/17/14,"2,010.74",,,,,
9/18/14,"2,012.34",,,,,
9/19/14,"2,019.26",,,,,
9/22/14,"2,009.08",,,,,
9/23/14,"1,995.41",,,,,
9/24/14,"1,999.79",,,,,
9/25/14,"1,997.32",,,,,
9/26/14,"1,986.37",,,,,
9/29/14,"1,981.28",,,,,
9/30/14,"1,985.17",,,,,
10/1/14,"1,971.44",,,,,
10/2/14,"1,952.32",,,,,
10/3/14,"1,971.19",,,,,
10/6/14,"1,977.84",,,,,
10/7/14,"1,962.36",,,,,
10/8/14,"1,970.36",,,,,
10/9/14,"1,967.68",,,,,
10/10/14,"1,936.98",,,,,
10/13/14,"1,912.09",,,,,
10/14/14,"1,898.71",,,,,
10/15/14,"1,874.18",,,,,
10/16/14,"1,876.01",,,,,
10/17/14,"1,898.16",,,,,
10/20/14,"1,905.03",,,,,
10/21/14,"1,942.45",,,,,
10/22/14,"1,949.31",,,,,
10/23/14,"1,961.95",,,,,
10/24/14,"1,965.27",,,,,
10/27/14,"1,964.64",,,,,
10/28/14,"1,985.05",,,,,
10/29/14,"1,991.40",,,,,
10/30/14,"1,999.40",,,,,
10/31/14,"2,018.19",,,,,
11/3/14,"2,024.46",,,,,
11/4/14,"2,015.98",,,,,
11/5/14,"2,023.77",,,,,
11/6/14,"2,031.61",,,,,
11/7/14,"2,034.26",,,,,
11/10/14,"2,038.70",,,,,
11/11/14,"2,041.28",,,,,
11/12/14,"2,040.33",,,,,
11/13/14,"2,046.18",,,,,
11/14/14,"2,042.22",,,,,
11/17/14,"2,043.07",,,,,
11/18/14,"2,056.08",,,,,
11/19/14,"2,052.14",,,,,
11/20/14,"2,053.84",,,,,
11/21/14,"2,071.46",,,,,
11/24/14,"2,070.17",,,,,
11/25/14,"2,074.21",,,,,
11/26/14,"2,073.29",,,,,
11/28/14,"2,075.76",,,,,
12/1/14,"2,065.78",,,,,
12/2/14,"2,068.77",,,,,
12/3/14,"2,076.28",,,,,
12/4/14,"2,077.34",,,,,
12/5/14,"2,079.47",,,,,
12/8/14,"2,075.78",,,,,
12/9/14,"2,060.60",,,,,
12/10/14,"2,058.86",,,,,
12/11/14,"2,055.53",,,,,
12/12/14,"2,032.25",,,,,
12/15/14,"2,018.69",,,,,
12/16/14,"2,016.89",,,,,
12/17/14,"2,016.75",,,,,
12/18/14,"2,061.23",,,,,
12/19/14,"2,077.85",,,,,
12/22/14,"2,078.76",,,,,
12/23/14,"2,086.73",,,,,
12/24/14,"2,087.56",,,,,
12/26/14,"2,092.70",,,,,
12/29/14,"2,093.55",,,,,
12/30/14,"2,088.49",,,,,
12/31/14,"2,085.58",,,,,
1/2/15,"2,072.36",,,,,
1/5/15,"2,054.44",,,,,
1/6/15,"2,030.25",,,,,
1/7/15,"2,029.61",,,,,
1/8/15,"2,064.08",,,,,
1/9/15,"2,064.43",,,,,
1/12/15,"2,049.30",,,,,
1/13/15,"2,056.93",,,,,
1/14/15,"2,018.40",,,,,
1/15/15,"2,021.35",,,,,
1/16/15,"2,020.46",,,,,
1/20/15,"2,028.94",,,,,
1/21/15,"2,038.29",,,,,
1/22/15,"2,064.62",,,,,
1/23/15,"2,062.98",,,,,
1/26/15,"2,057.62",,,,,
1/27/15,"2,047.86",,,,,
1/28/15,"2,042.49",,,,,
1/29/15,"2,024.64",,,,,
1/30/15,"2,023.32",,,,,
2/2/15,"2,021.66",,,,,
2/3/15,"2,050.30",,,,,
2/4/15,"2,054.74",,,,,
2/5/15,"2,063.55",,,,,
2/6/15,"2,072.40",,,,,
2/9/15,"2,056.16",,,,,
2/10/15,"2,070.86",,,,,
2/11/15,"2,073.48",,,,,
2/12/15,"2,088.53",,,,,
2/13/15,"2,097.03",,,,,
2/17/15,"2,101.30",,,,,
2/18/15,"2,100.23",,,,,
2/19/15,"2,102.13",,,,,
2/20/15,"2,110.61",,,,,
2/23/15,"2,110.05",,,,,
2/24/15,"2,117.94",,,,,
2/25/15,"2,119.59",,,,,
2/26/15,"2,113.91",,,,,
2/27/15,"2,112.74",,,,,
3/2/15,"2,117.52",,,,,
3/3/15,"2,115.76",,,,,
3/4/15,"2,107.72",,,,,
3/5/15,"2,104.25",,,,,
3/6/15,"2,100.91",,,,,
3/9/15,"2,083.49",,,,,
3/10/15,"2,076.14",,,,,
3/11/15,"2,050.08",,,,,
3/12/15,"2,066.41",,,,,
3/13/15,"2,064.56",,,,,
3/16/15,"2,081.41",,,,,
