Date,#of Tweets about Bitcoin
7/1/14,20443
7/2/14,21375
7/3/14,22046
7/4/14,22659
7/5/14,16997
7/6/14,17331
7/7/14,22248
7/8/14,24425
7/9/14,24542
7/10/14,23242
7/11/14,20939
7/12/14,16719
7/13/14,16133
7/14/14,20287
7/15/14,25031
7/16/14,21984
7/17/14,23305
7/18/14,25897
7/19/14,20261
7/20/14,16827
7/21/14,18501
7/22/14,18386
7/23/14,20612
7/24/14,20448
7/25/14,19971
7/26/14,16000
7/27/14,15621
7/28/14,23384
7/29/14,21797
7/30/14,22092
7/31/14,22160
8/1/14,21585
8/2/14,18531
8/3/14,17187
8/4/14,20609
8/5/14,21073
8/6/14,22471
8/7/14,24516
8/8/14,23126
8/9/14,21820
8/10/14,20814
8/11/14,21388
8/12/14,22551
8/13/14,23725
8/14/14,24887
8/15/14,22725
8/16/14,23487
8/17/14,22608
8/18/14,21867
8/19/14,24106
8/20/14,26924
8/21/14,22176
8/22/14,21222
8/23/14,17389
8/24/14,16318
8/25/14,19062
8/26/14,19596
8/27/14,19625
8/28/14,22229
8/29/14,19838
8/30/14,18905
8/31/14,17226
9/1/14,18661
9/2/14,22901
9/3/14,22113
9/4/14,24968
9/5/14,22368
9/6/14,21053
9/7/14,17730
9/8/14,22751
9/9/14,16169
9/10/14,16616
9/11/14,27367
9/12/14,24097
9/13/14,18209
9/14/14,18671
9/15/14,23392
9/16/14,21176
9/17/14,27946
9/18/14,21135
9/19/14,20775
9/20/14,17607
9/21/14,17026
9/22/14,14984
9/23/14,23489
9/24/14,20675
9/25/14,20757
9/26/14,19512
9/27/14,17202
9/28/14,16636
9/29/14,19660
9/30/14,21073
10/1/14,18636
10/2/14,18380
10/3/14,20207
10/4/14,18214
10/5/14,20031
10/6/14,25065
10/7/14,22543
10/8/14,24408
10/9/14,24075
10/10/14,19090
10/11/14,17107
10/12/14,17072
10/13/14,22018
10/14/14,25804
10/15/14,23992
10/16/14,24445
10/17/14,21491
10/18/14,20572
10/19/14,18259
10/20/14,23312
10/21/14,22499
10/22/14,20348
10/23/14,21036
10/24/14,11147
10/25/14,22449
10/26/14,20090
10/27/14,21632
10/28/14,20173
10/29/14,22081
10/30/14,22855
10/31/14,22906
11/1/14,30263
11/2/14,21408
11/3/14,26060
11/4/14,20992
11/5/14,20871
11/6/14,24348
11/7/14,24244
11/8/14,18964
11/9/14,18949
11/10/14,22516
11/11/14,23156
11/12/14,25601
11/13/14,26798
11/14/14,23449
11/15/14,21104
11/16/14,21652
11/17/14,25728
11/18/14,28238
11/19/14,25117
11/20/14,23707
11/21/14,24577
11/22/14,22344
11/23/14,20544
11/24/14,25545
11/25/14,25985
11/26/14,27929
11/27/14,25790
11/28/14,24830
11/29/14,26555
11/30/14,20117
12/1/14,26508
12/2/14,32744
12/3/14,24990
12/4/14,26370
12/5/14,25043
12/6/14,21503
12/7/14,21983
12/8/14,24899
12/9/14,27224
12/10/14,25421
12/11/14,32162
12/12/14,25383
12/13/14,26584
12/14/14,23579
12/15/14,26094
12/16/14,27622
12/17/14,28350
12/18/14,26969
12/19/14,23574
12/20/14,23524
12/21/14,21411
12/22/14,23172
12/23/14,25504
12/24/14,24192
12/25/14,21216
12/26/14,21728
12/27/14,21543
12/28/14,18427
12/29/14,19605
12/30/14,19477
12/31/14,20017
1/1/15,18681
1/2/15,9385
1/3/15,
1/4/15,7300
1/5/15,23092
1/6/15,25041
1/7/15,26987
1/8/15,22546
1/9/15,30439
1/10/15,22162
1/11/15,20760
1/12/15,24861
1/13/15,30086
1/14/15,35414
1/15/15,26417
1/16/15,26448
1/17/15,19187
1/18/15,24812
1/19/15,27548
1/20/15,26982
1/21/15,24660
1/22/15,25882
1/23/15,24058
1/24/15,32718
1/25/15,21312
1/26/15,33929
1/27/15,26135
1/28/15,27422
1/29/15,25184
1/30/15,22919
1/31/15,18146
2/1/15,19445
2/2/15,24761
2/3/15,33419
2/4/15,22995
2/5/15,28935
2/6/15,23289
2/7/15,19540
2/8/15,20792
2/9/15,24642
2/10/15,24331
2/11/15,39339
2/12/15,25742
2/13/15,27697
2/14/15,19041
2/15/15,21846
2/16/15,24782
2/17/15,24354
2/18/15,22628
2/19/15,24979
2/20/15,29514
2/21/15,20543
2/22/15,20579
2/23/15,23428
2/24/15,24385
2/25/15,24137
2/26/15,26283
2/27/15,30545
2/28/15,20811
3/1/15,18895
3/2/15,23297
3/3/15,25764
3/4/15,25007
3/5/15,24174
3/6/15,22774
3/7/15,19322
3/8/15,19396
3/9/15,23937
3/10/15,28378
3/11/15,25733
3/12/15,24527
3/13/15,25574
3/14/15,21952
3/15/15,24161
3/16/15,24071
3/17/15,36584
3/18/15,24807
3/19/15,31393
3/20/15,26773
3/21/15,23297
3/22/15,27846
3/23/15,34762
3/24/15,31576
3/25/15,35297
3/26/15,37079
3/27/15,36691
3/28/15,31697
3/29/15,31897
3/30/15,38669
3/31/15,35388
4/1/15,34237
4/2/15,29264
4/3/15,30317
4/4/15,27885
4/5/15,29227
4/6/15,29046
4/7/15,29994
4/8/15,37076
4/9/15,37353
4/10/15,28657
4/11/15,27225
4/12/15,25877
4/13/15,29205
4/14/15,30124
4/15/15,28598
4/16/15,34517
4/17/15,28275
4/18/15,25659
4/19/15,26993
4/20/15,28470
4/21/15,32701
4/22/15,30895
4/23/15,30202
4/24/15,35266
4/25/15,25715
4/26/15,36471
4/27/15,39066
4/28/15,31957
4/29/15,30639
4/30/15,29720
5/1/15,27237
5/2/15,25012
5/3/15,27042
5/4/15,29448
5/5/15,27820
5/6/15,29624
5/7/15,27526
5/8/15,25655
5/9/15,23791
5/10/15,31503
5/11/15,32317
5/12/15,30635
5/13/15,30934
5/14/15,31708
5/15/15,42997
5/16/15,32407
5/17/15,32810
5/18/15,34624
5/19/15,34750
5/20/15,30108
5/21/15,27578
5/22/15,29926
5/23/15,27166
5/24/15,27968
5/25/15,30637
5/26/15,34578
5/27/15,29218
5/28/15,23591
5/29/15,24045
5/30/15,23844
5/31/15,24048
6/1/15,27087
6/2/15,28566
6/3/15,34732
6/4/15,76661
6/5/15,28700
6/6/15,27936
6/7/15,26086
6/8/15,46002
6/9/15,43106
6/10/15,26645
6/11/15,52355
6/12/15,36988
6/13/15,21875
6/14/15,46935
6/15/15,28128
6/16/15,84152
6/17/15,35914
6/18/15,38557
6/19/15,28107
6/20/15,25438
6/21/15,23500
6/22/15,27394
6/23/15,28352
6/24/15,36725
6/25/15,26008
6/26/15,23984
6/27/15,23636
6/28/15,25663
6/29/15,40197
6/30/15,33375
7/1/15,29052
7/2/15,27119
7/3/15,25771
7/4/15,23847
7/5/15,24976
7/6/15,36903
7/7/15,29915
7/8/15,36474
7/9/15,30281
7/10/15,29616
7/11/15,24645
7/12/15,26775
7/13/15,42326
7/14/15,50267
7/15/15,38595
7/16/15,35125
7/17/15,29831
7/18/15,25985
7/19/15,25071
7/20/15,36888
7/21/15,30095
7/22/15,44651
7/23/15,33408
7/24/15,28664
7/25/15,21076
7/26/15,15592
7/27/15,30972
7/28/15,33519
7/29/15,37726
7/30/15,33018
7/31/15,27789
8/1/15,26960
8/2/15,24294
8/3/15,35036
8/4/15,34486
8/5/15,31470
8/6/15,35658
8/7/15,47467
8/8/15,29031
8/9/15,27132
8/10/15,27744
8/11/15,26653
8/12/15,29241
8/13/15,31087
8/14/15,30737
8/15/15,28722
8/16/15,24050
8/17/15,37040
8/18/15,28767
8/19/15,28539
8/20/15,36462
